variant,seed,run_name,best_epoch,epochs_run,train_time_s,n_parameters,device,split_dir,n_train,n_val,n_test,val_mse,val_rmse,val_mae,val_ci,val_rm2,val_pearson,val_spearman,val_auroc,val_auprc,test_mse,test_rmse,test_mae,test_ci,test_rm2,test_pearson,test_spearman,test_auroc,test_auprc
backbone_gat,0,backbone_gat_seed0,10,12,177.0,684545,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4688911261212691,0.6847562530720469,0.4556516614104148,0.7170259063871945,0.3209251195552652,0.5730675093325248,0.5753600205469939,0.7519338109260316,0.5359018033610586,0.47700880375058075,0.6906582394720132,0.4592143456782881,0.719492122397875,0.34639867450336315,0.601124143869451,0.576667323710672,0.7547542978059173,0.5544085634632339
backbone_gat,1,backbone_gat_seed1,12,12,104.8,684545,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4493234939387924,0.6703159657495802,0.4362391246109884,0.7295489067243163,0.353256357789019,0.597227433690012,0.6031027803380538,0.7738210345888454,0.5856043371680776,0.4713771350246684,0.6865691043330369,0.4476478637860675,0.7324355362880619,0.3630197698166158,0.6073370536495618,0.6061355133561139,0.769392818834803,0.5628281816085909
backbone_gcn,0,backbone_gcn_seed0,12,12,186.0,683521,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.44750149076119455,0.6689555222592863,0.4254383106612673,0.73328228093015,0.3603336049469247,0.607511882385335,0.6090751254394027,0.7792335076693183,0.5998671311903394,0.46568406137571094,0.6824104786532157,0.44015270266389017,0.7337981216743241,0.3871481116121568,0.6224572497182863,0.6088033519113256,0.7788466354200143,0.5845783926710884
backbone_gcn,1,backbone_gcn_seed1,12,12,119.0,683521,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4492540897514888,0.6702641939947924,0.4537554618099422,0.7271575214446849,0.35620172159425656,0.6012324684996511,0.5943541415954501,0.7671279611479805,0.5921625707889993,0.45512300253328586,0.67462804754419,0.4579184668346815,0.7334862529169577,0.3860283318254229,0.6248826924004205,0.6050388683490849,0.7713194754569093,0.5784622602313036
depth_1,0,depth_1_seed0,11,12,191.2,849153,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4660365533466316,0.682668699550984,0.44940674421486326,0.7250791777288701,0.3198510189713761,0.5770722472182914,0.5931313430952698,0.7585516195666507,0.5399461444871148,0.49403697086564136,0.7028776357700118,0.45892264576501357,0.7310037317171483,0.32588949854601795,0.5803051521234979,0.6043071640589283,0.7604528816898233,0.5329534644988226
depth_1,1,depth_1_seed1,11,12,106.2,849153,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4597235973710128,0.6780292009722094,0.4559202332016361,0.7261369830131952,0.33704507470358797,0.5836458791899334,0.5941669049622854,0.7639618951347075,0.5513524715543643,0.4633418042744898,0.6806921508835619,0.45970684165808684,0.7301365797768312,0.361512571734521,0.615434403206755,0.59946594512271,0.7680499501250005,0.5653911810351524
full,0,full_seed0,12,12,434.2,1543425,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.44234221386173134,0.6650881248840121,0.43427036510747996,0.7378947706387653,0.34929438051814954,0.6066929608589366,0.6173090038778902,0.7818013009273502,0.5878958653338955,0.43877228139613494,0.662398883903147,0.4373979384069285,0.7431002622680488,0.40411413019802706,0.6405270640546384,0.6287573346543932,0.7855849773997388,0.5978683963872993
full,1,full_seed1,9,12,211.4,1543425,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.4889395583583702,0.699242131423994,0.46096333796756095,0.7186969902907426,0.2855559321626095,0.5490422777354884,0.5796354378916287,0.754688392739419,0.5346960401374127,0.498041751832954,0.7057207321830314,0.4659727007796599,0.7254954525672669,0.3209065012410069,0.5752546634604839,0.5895153640502006,0.7660382555853739,0.5524914400903417
fusion_concat,0,fusion_concat_seed0,12,12,389.3,1444353,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.44778725918067286,0.6691690811601152,0.43333008640936166,0.73465274555416,0.35362515343833406,0.5981334368054183,0.6101085395773227,0.7712587351118533,0.5815153134809992,0.4539867270167276,0.6737853716256591,0.4382731467675413,0.7402490819853439,0.3866987644671471,0.623984749613771,0.6212325673060625,0.7877964849602878,0.5873469281321854
fusion_concat,1,fusion_concat_seed1,12,12,185.5,1444353,cuda,D:\CLG\AU\projects\release\phase1\data\splits\kiba_subset20_seed42,18826,2353,2353,0.44408393017968417,0.6663962261145273,0.4335615621745916,0.7375322310499008,0.3527664235828879,0.603242309747717,0.615676886948686,0.770795059992089,0.5690311119696309,0.4482794275769012,0.6695367260852098,0.44300440773272887,0.7400997444626565,0.39391773024310206,0.6304707022442515,0.6185524166950328,0.7677885759122535,0.5731616123877173
