23:13:32 | INFO | data: {"split_dir": "D:\\CLG\\AU\\projects\\release\\phase1\\data\\splits\\kiba_subset20_seed42", "sizes": {"train": 18826, "val": 2353, "test": 2353}, "n_drugs": 2068, "n_targets": 229, "protein_input_dim": 1024}
23:13:32 | INFO | model: transformer backbone, 1444353 trainable parameters, device=cuda
23:13:32 | INFO | target scaler: {"mean": 11.717900276184082, "std": 0.8285475373268127}
23:14:00 | INFO | epoch   1/12 | train_mse 0.6184 | val_mse 0.6029 | val_ci 0.6537 | val_pearson 0.3717 | lr 5.00e-04 | 27.4s
23:14:32 | INFO | epoch   2/12 | train_mse 0.5559 | val_mse 0.5944 | val_ci 0.6761 | val_pearson 0.4060 | lr 5.00e-04 | 32.2s
23:15:05 | INFO | epoch   3/12 | train_mse 0.5257 | val_mse 0.5909 | val_ci 0.6840 | val_pearson 0.4193 | lr 5.00e-04 | 32.8s
23:15:37 | INFO | epoch   4/12 | train_mse 0.5119 | val_mse 0.5439 | val_ci 0.6941 | val_pearson 0.4986 | lr 5.00e-04 | 31.9s
23:16:11 | INFO | epoch   5/12 | train_mse 0.4941 | val_mse 0.5551 | val_ci 0.6910 | val_pearson 0.4737 | lr 5.00e-04 | 33.2s
23:16:48 | INFO | epoch   6/12 | train_mse 0.4676 | val_mse 0.5243 | val_ci 0.7051 | val_pearson 0.5196 | lr 5.00e-04 | 37.3s
23:17:22 | INFO | epoch   7/12 | train_mse 0.4543 | val_mse 0.5479 | val_ci 0.7012 | val_pearson 0.5119 | lr 5.00e-04 | 34.0s
23:17:53 | INFO | epoch   8/12 | train_mse 0.4480 | val_mse 0.5193 | val_ci 0.7179 | val_pearson 0.5368 | lr 5.00e-04 | 31.4s
23:18:20 | INFO | epoch   9/12 | train_mse 0.4407 | val_mse 0.4968 | val_ci 0.7246 | val_pearson 0.5380 | lr 5.00e-04 | 26.4s
23:18:57 | INFO | epoch  10/12 | train_mse 0.4313 | val_mse 0.4605 | val_ci 0.7249 | val_pearson 0.5846 | lr 5.00e-04 | 37.3s
23:19:31 | INFO | epoch  11/12 | train_mse 0.4252 | val_mse 0.5040 | val_ci 0.7233 | val_pearson 0.5436 | lr 5.00e-04 | 33.6s
23:20:02 | INFO | epoch  12/12 | train_mse 0.4169 | val_mse 0.4478 | val_ci 0.7347 | val_pearson 0.5981 | lr 5.00e-04 | 30.5s
23:20:06 | INFO | TEST | mse 0.4540 | rmse 0.6738 | ci 0.7402 | rm2 0.3867 | pearson 0.6240 | (389s)
