23:59:54 | INFO | data: {"split_dir": "D:\\CLG\\AU\\projects\\release\\phase1\\data\\splits\\kiba_subset20_seed42", "sizes": {"train": 18826, "val": 2353, "test": 2353}, "n_drugs": 2068, "n_targets": 229, "protein_input_dim": 1024}
23:59:54 | INFO | model: transformer backbone, 1543425 trainable parameters, device=cuda
23:59:54 | INFO | target scaler: {"mean": 11.717900276184082, "std": 0.8285475373268127}
00:00:09 | INFO | epoch   1/12 | train_mse 0.6256 | val_mse 0.6221 | val_ci 0.6509 | val_pearson 0.3423 | lr 5.00e-04 | 15.1s
00:00:23 | INFO | epoch   2/12 | train_mse 0.5787 | val_mse 0.7556 | val_ci 0.6253 | val_pearson 0.2373 | lr 5.00e-04 | 14.1s
00:00:38 | INFO | epoch   3/12 | train_mse 0.5478 | val_mse 0.6014 | val_ci 0.6685 | val_pearson 0.4109 | lr 5.00e-04 | 14.8s
00:00:54 | INFO | epoch   4/12 | train_mse 0.5201 | val_mse 0.5534 | val_ci 0.6851 | val_pearson 0.4589 | lr 5.00e-04 | 15.4s
00:01:08 | INFO | epoch   5/12 | train_mse 0.5086 | val_mse 0.5374 | val_ci 0.6904 | val_pearson 0.4922 | lr 5.00e-04 | 14.4s
00:01:23 | INFO | epoch   6/12 | train_mse 0.4873 | val_mse 0.6184 | val_ci 0.6912 | val_pearson 0.4949 | lr 5.00e-04 | 14.9s
00:01:38 | INFO | epoch   7/12 | train_mse 0.4698 | val_mse 0.5417 | val_ci 0.7020 | val_pearson 0.5059 | lr 5.00e-04 | 15.4s
00:01:52 | INFO | epoch   8/12 | train_mse 0.4619 | val_mse 0.5035 | val_ci 0.7139 | val_pearson 0.5343 | lr 5.00e-04 | 14.0s
00:02:07 | INFO | epoch   9/12 | train_mse 0.4471 | val_mse 0.5026 | val_ci 0.7054 | val_pearson 0.5319 | lr 5.00e-04 | 14.2s
00:02:22 | INFO | epoch  10/12 | train_mse 0.4357 | val_mse 0.4820 | val_ci 0.7208 | val_pearson 0.5574 | lr 5.00e-04 | 15.8s
00:02:37 | INFO | epoch  11/12 | train_mse 0.4317 | val_mse 0.4668 | val_ci 0.7278 | val_pearson 0.5757 | lr 5.00e-04 | 14.1s
00:02:51 | INFO | epoch  12/12 | train_mse 0.4203 | val_mse 0.5232 | val_ci 0.7216 | val_pearson 0.5547 | lr 5.00e-04 | 14.5s
00:02:53 | INFO | TEST | mse 0.4649 | rmse 0.6818 | ci 0.7344 | rm2 0.3581 | pearson 0.6169 | (177s)
