cid1,cid2
85,206
85,271
85,444
85,772
85,853
85,937
85,942
85,1983
85,2162
85,2244
85,2250
85,2462
85,2524
85,2585
85,2771
85,2803
85,2806
85,3016
85,3043
85,3062
85,3075
85,3121
85,3348
85,3365
85,3405
85,3440
85,3446
85,3478
85,3696
85,3878
85,3883
85,3937
85,3957
85,3958
85,4168
85,4171
85,4510
85,4543
85,4583
85,4594
85,4634
85,4679
85,4740
85,4829
85,4894
85,5038
85,5039
85,5073
85,5076
85,5090
85,5267
85,5408
85,5514
85,5732
85,6691
85,8953
85,27661
85,54454
85,59708
85,62924
85,87177
85,150311
85,156419
85,3085017
85,3468412
85,5281104
85,6398525
119,772
119,1117
119,1972
119,1983
119,2022
119,2083
119,2162
119,2244
119,2250
119,2265
119,2274
119,2622
119,2650
119,2656
119,2764
119,2771
119,2907
119,2909
119,3325
119,3365
119,3367
119,3405
119,3440
119,3454
119,3467
119,3640
119,3883
119,3929
119,3958
119,4159
119,4173
119,4253
119,4594
119,4595
119,4679
119,4873
119,4894
119,4900
119,4943
119,5039
119,5372
119,5645
119,5651
119,6691
119,8953
119,39765
119,83786
143,206
143,444
143,450
143,453
143,581
143,596
143,598
143,772
143,853
143,937
143,942
143,1117
143,1302
143,1690
143,1775
143,1971
143,1972
143,1978
143,1983
143,1986
143,2019
143,2022
143,2083
143,2088
143,2118
143,2142
143,2153
143,2156
143,2160
143,2162
143,2171
143,2173
143,2187
143,2244
143,2249
143,2250
143,2269
143,2284
143,2311
143,2369
143,2405
143,2471
143,2477
143,2478
143,2520
143,2524
143,2541
143,2550
143,2554
143,2576
143,2578
143,2585
143,2617
143,2622
143,2650
143,2656
143,2658
143,2662
143,2666
143,2678
143,2713
143,2756
143,2764
143,2771
143,2786
143,2802
143,2803
143,2806
143,2812
143,2891
143,2895
143,2907
143,2909
143,2955
143,2978
143,3003
143,3016
143,3032
143,3043
143,3062
143,3075
143,3108
143,3121
143,3143
143,3148
143,3152
143,3154
143,3157
143,3161
143,3203
143,3222
143,3249
143,3305
143,3310
143,3325
143,3333
143,3339
143,3345
143,3348
143,3350
143,3355
143,3365
143,3367
143,3385
143,3386
143,3403
143,3405
143,3440
143,3446
143,3454
143,3461
143,3463
143,3467
143,3476
143,3478
143,3488
143,3510
143,3516
143,3559
143,3639
143,3640
143,3648
143,3652
143,3661
143,3672
143,3676
143,3690
143,3702
143,3715
143,3746
143,3749
143,3750
143,3780
143,3793
143,3825
143,3877
143,3883
143,3890
143,3899
143,3929
143,3937
143,3954
143,3957
143,3958
143,3961
143,3962
143,4052
143,4075
143,4091
143,4107
143,4112
143,4158
143,4159
143,4168
143,4170
143,4171
143,4173
143,4205
143,4212
143,4253
143,4409
143,4463
143,4485
143,4509
143,4510
143,4539
143,4583
143,4585
143,4594
143,4595
143,4609
143,4616
143,4634
143,4635
143,4666
143,4674
143,4679
143,4691
143,4812
143,4829
143,4856
143,4873
143,4889
143,4894
143,4900
143,4917
143,4927
143,4943
143,4946
143,4993
143,5002
143,5005
143,5029
143,5035
143,5038
143,5039
143,5073
143,5076
143,5090
143,5095
143,5152
143,5155
143,5184
143,5203
143,5212
143,5215
143,5234
143,5245
143,5253
143,5267
143,5291
143,5372
143,5391
143,5394
143,5401
143,5408
143,5412
143,5426
143,5496
143,5512
143,5523
143,5544
143,5556
143,5645
143,5647
143,5650
143,5651
143,5656
143,5672
143,5732
143,5746
143,5978
143,6691
143,8953
143,10631
143,19090
143,24486
143,27661
143,28112
143,38904
143,41774
143,54374
143,54454
143,54688
143,59708
143,60147
143,60184
143,60198
143,60831
143,60835
143,60843
143,60852
143,60953
143,62924
143,65999
143,68740
143,71616
143,77999
143,83786
143,87177
143,93860
143,119607
143,123631
143,125889
143,130881
143,147912
143,148192
143,148211
143,150311
143,151165
143,152945
143,176870
143,213039
143,216326
143,443871
143,667490
143,3062316
143,3468412
143,4183806
143,4475485
143,5311039
143,5311048
143,5311297
143,5329102
143,5353980
143,5481350
143,6398525
143,6447131
158,1983
158,5732
158,5771
158,4183806
159,772
159,853
159,1983
159,2083
159,2088
159,2118
159,2156
159,2160
159,2162
159,2244
159,2249
159,2250
159,2265
159,2462
159,2471
159,2550
159,2617
159,2656
159,2666
159,2678
159,2764
159,2771
159,2803
159,2806
159,2909
159,3003
159,3016
159,3062
159,3075
159,3108
159,3222
159,3325
159,3345
159,3348
159,3365
159,3382
159,3386
159,3405
159,3440
159,3446
159,3463
159,3476
159,3488
159,3516
159,3559
159,3639
159,3652
159,3672
159,3746
159,3883
159,3937
159,3954
159,3957
159,3958
159,3961
159,4091
159,4168
159,4170
159,4171
159,4173
159,4178
159,4253
