side_effect,n_rows
arterial pressure NOS decreased,28568
anaemia,27006
Difficulty breathing,26037
nausea,25190
neumonia,24430
Fatigue,24260
Pain,23894
diarrhea,23848
asthenia,23515
emesis,23043
edema extremities,21981
body temperature increased,21806
pleural pain,21781
abdominal pain,21410
Hypoventilation,21322
chest pain,21013
dizziness,20204
Back Ache,19930
Head ache,19803
High blood pressure,19376
confusion,19365
dehydration,19100
Anxiety,18980
kidney failure,18892
loss of weight,18785
hyperglycaemia,18779
edema,18419
Anorexia,18177
Aching joints,18061
acute kidney failure,17945
neuropathy,17910
Extremity pain,17808
Infection Urinary Tract,17658
Cough,17648
constipated,17639
heart rate increased,17567
weight gain,17112
thrombocytopenia,17060
Pleural Effusion,16899
sepsis,16575
