variant,runtime_s_mean,epochs_run_mean,test_ground_truth_ddi_rate_mean,test_jaccard_mean,test_prauc_mean,test_f1_mean,test_precision_mean,test_recall_mean,test_avg_drugs_mean,test_ddi_rate_mean,test_precision@10_mean,test_jaccard@10_mean,test_hit_rate@10_mean,test_n_visits_mean,runtime_s_std,epochs_run_std,test_ground_truth_ddi_rate_std,test_jaccard_std,test_prauc_std,test_f1_std,test_precision_std,test_recall_std,test_avg_drugs_std,test_ddi_rate_std,test_precision@10_std,test_jaccard@10_std,test_hit_rate@10_std,test_n_visits_std,n_seeds
full,253.51188123226166,15.0,0.08688901741948617,0.32328784646422276,0.562136807427188,0.45901962470042057,0.6611499029449951,0.3845693213836851,15.07003367003367,0.07791477336507288,0.6761279461279461,0.2392831985044171,0.9912457912457913,1485.0,11.504555344581604,0.0,0.0,0.0012963263684770965,0.0016379095964775825,0.0019683615165663193,0.0022844426850300303,0.0028863408027453574,0.20269360269360304,0.0019820504542023935,0.002188552188552184,0.001205452635031072,0.000673400673400687,0.0,2
no_ddi,255.62902081012726,15.0,0.08688901741948617,0.32416118323448806,0.5654470205622848,0.4610667604577304,0.6707550475954664,0.38199142470411784,14.828282828282829,0.11522887518657508,0.6790572390572391,0.24029207947490985,0.9922558922558922,1485.0,1.2434455156326294,0.0,0.0,0.0024191341358271307,0.0029971269104958898,0.0023087686212354686,4.086682484738535e-05,0.003609587296768732,0.15622895622895605,0.0014816670184726183,0.0016835016835017036,0.0008763374064698348,0.001683501683501648,0.0,2
no_ddi_loss,258.0427302122116,15.0,0.08688901741948617,0.3331270854973748,0.5687390180728148,0.4722269189863044,0.6632343364316318,0.3996052942132897,15.74040404040404,0.10938063194951435,0.6808754208754209,0.24148863873996718,0.990909090909091,1485.0,0.5174134969711304,0.0,0.0,0.0007177695682722418,0.0008571424410781514,0.0005645007406846481,0.0022721938426863153,0.0033191854828898,0.20168350168350146,0.0018108946641647583,0.0010774410774410381,0.0001267329744828738,0.0003367003367003296,0.0,2
no_mol,207.84578156471252,15.0,0.08688901741948617,0.31037953252169426,0.5487939289661533,0.4443706001267698,0.6648889225135948,0.36195212187007664,14.082828282828283,0.08411295780414053,0.6670707070707071,0.2335232655841509,0.9912457912457913,1485.0,9.666131019592285,0.0,0.0,0.0005165410045782082,0.0016687921650401227,0.00014896546291959245,0.004291997255785357,0.002095785528571384,0.21346801346801314,0.0002806530932712298,6.734006734002151e-05,2.582596743994081e-05,0.0006734006734006315,0.0,2
homo_graph,202.4022353887558,15.0,0.08688901741948617,0.30807255248085297,0.5592380656651821,0.43888076511105795,0.6753648754112764,0.35910760209554105,13.897306397306398,0.08532504630471871,0.6734680134680135,0.23773142574559575,0.9915824915824916,1485.0,2.4826139211654663,0.0,0.0,0.0029608429067838477,0.0010816615009634767,0.0035869288867334537,0.005357299239817648,0.007258240831862828,0.524242424242424,0.001639108918255347,0.0005387205387205884,0.00031660783947964205,0.002356902356902335,0.0,2
no_proc,167.0875174999237,13.5,0.08688901741948617,0.29139632316019637,0.5335804369688232,0.42155624266403136,0.654216658490267,0.3411498315179614,13.477104377104379,0.08849240722849136,0.6575084175084176,0.2298233977901995,0.9905723905723905,1485.0,11.441675424575806,1.5,0.0,0.0006484620595721552,0.004710788292657586,0.001500997490069933,0.004368641413060703,0.00012431412686671195,0.1026936026936025,0.0016348514521387116,0.0030303030303030776,0.0013875661374872506,0.0013468013468013185,0.0,2
no_history,144.80813944339752,15.0,0.08688901741948617,0.3236637839300941,0.5695338171976725,0.45854822962142605,0.6742399616720653,0.3831171678043571,14.68148148148148,0.07783756281955945,0.6815488215488215,0.24249554855551755,0.9922558922558922,1485.0,12.266271948814392,0.0,0.0,0.0024139357379936027,0.00026591583797383467,0.00288451382788589,0.005450466889775796,0.003347611631886724,0.17710437710437654,0.0009133863775587052,0.002020202020202033,0.0011008771280550667,0.00033670033670038513,0.0,2
no_gnn,130.9517570734024,10.0,0.08688901741948617,0.2593654951827487,0.4810917327859555,0.3905995310188548,0.6193360970239767,0.3109604668379936,13.008080808080809,0.09014507978430691,0.6217845117845118,0.21130115622417306,0.967003367003367,1485.0,55.403258204460144,5.0,0.0,0.029669845715436453,0.04982249372072811,0.02731619769051981,0.03966885069006379,0.026434820953503815,0.4646464646464641,0.0007655086060205478,0.03410774410774409,0.016465037397406762,0.023569023569023573,0.0,2
gnn_1layer,218.80407392978668,15.0,0.08688901741948617,0.31903875641416685,0.5615540366903596,0.4534799700052139,0.665193903165848,0.37690106817825614,14.547474747474748,0.08495014182452139,0.6738720538720538,0.23823900532680875,0.9912457912457913,1485.0,17.906758666038513,0.0,0.0,0.00014307811121744285,0.0006870771259211983,0.00031417574593566033,0.004564259200001475,0.0024553819227814966,0.18518518518518512,0.0023797383298560237,0.0016161616161616266,0.0009074452963705806,0.0,0.0,2
baseline_mlp,91.7755856513977,15.0,0.08688901741948617,0.3633044167040038,0.6261289360583256,0.5096558191028056,0.7183223110172324,0.4203297237707399,15.153535353535354,0.10026360770727111,0.7307070707070709,0.2671427604159482,0.9952861952861953,1485.0,13.214207649230957,0.0,0.0,0.00035150156075676453,0.0012184649020590133,0.00034568942656884594,0.0006524268913267184,0.0008384394706574261,0.018181818181817633,0.0006272743169464072,0.0007407407407408473,0.00042552540661768,0.0,0.0,2
baseline_lr,95.71594512462616,15.0,0.08688901741948617,0.36082593201808194,0.6223880693609392,0.5075981452563555,0.7131927350037045,0.417956332426688,14.776430976430976,0.10004562732848843,0.729057239057239,0.2672887226985903,0.9966329966329966,1485.0,25.277042984962463,0.0,0.0,5.2065396541844944e-05,7.833271078896975e-05,8.592491523662371e-05,0.0001048484439215569,0.00011184287198434673,0.002020202020201367,1.4088893993367824e-06,0.0005723905723906408,0.000409838012622607,0.0,0.0,2
baseline_nearest,13.678218960762024,0.0,0.08688901741948617,0.20997378006308434,0.4473898812091728,0.33481912863954594,0.6111460071996674,0.2732479520856697,12.435016835016835,0.09589618132624791,0.5775757575757576,0.19195867751935106,0.9393939393939394,1485.0,5.189467549324036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
